ITEM;UBIGEO;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;NORMA;DISPOSITIVO_2;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;TIPOLOGIA;MONTO DE INVERSIÓN;MONTO DE TRANSFERENCIA 2020;SUB ESTADO SSP
1;1501080000;2473485;2473485;LIMA;LIMA;CHORRILLOS;CREACION DEL SERVICIO DE ESPACIOS PUBLICOS VERDES EN LA UP. ARIA LAS DELICIAS DE VILLA ZONA I CHORRILLOS DEL DISTRITO DE CHORRILLOS - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CHORRILLOS;12;5035;Espacio Público;395 481;61 045;Adelantada
2;1501080000;2473768;2473768;LIMA;LIMA;CHORRILLOS;CREACION DEL SERVICIO DE ESPACIOS PÚBLICOS DE RECREACIÓN EN PARQUE INFANTIL EN LA UP. ARIA LAS DELICIAS DE VILLA ZONA I CHORRILLOS DEL DISTRITO DE CHORRILLOS - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CHORRILLOS;11;5035;Espacio Público;329 749;18 342;Proceso de Selección
3;2301100000;255630;2179810;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;CREACION DE PARQUE RECREATIVO CULTURAL EN LA ASOCIACION DE VIVIENDA CIUDAD DE PAZ, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CORONEL GREGORIO ALBARRACIN LANCHIPA;20;2664;Espacio Público;663 284;423 034;Normal
4;608010000;2468975;2468975;CAJAMARCA;JAEN;JAEN;CREACION DEL PARQUE PAKAMUROS EN LA HABILITACIÓN URBANA PAKAMUROS DE LA CIUDAD DE JAÉN  DISTRITO DE JAEN - PROVINCIA DE JAEN - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE JAEN;17;836;Espacio Público;573 452;532 126;Normal
5;302180000;2478572;2478572;APURIMAC;ANDAHUAYLAS;TURPO;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD PEATONAL CON GRADERIAS EN LAS CALLES DE JR, JOSE MARIA ARGUEDAS, JR. MARIANO MELGAR Y JR. RICARDO PALMA DE LA LOCALIDAD DE TURPO,  DISTRITO DE TURPO - PROVINCIA DE ANDAHUAYLAS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE TURPO;40;1585;Pista y Vereda;1 330 477;1 304 476;Atrasada
6;1903010000;2482717;2482717;PASCO;OXAPAMPA;OXAPAMPA;CREACION DE ESPACIOS PÚBLICOS RECREATIVOS INFANTILES EN EL JIRÓN LERCHER, DISTRITO DE OXAPAMPA, PROVINCIA DE OXAPAMPA - PASCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE OXAPAMPA;11;145;Espacio Público;330 209;280 208;Atrasada
7;1901040000;2470493;2470493;PASCO;PASCO;HUAYLLAY;CREACION DEL PARQUE EN EL JR. MANCO CAPAC ENTRE EL JR. CONDORCANQUI DEL BARRIO 14 DE SETIEMBRE,  DISTRITO DE HUAYLLAY - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE HUAYLLAY;11;107;Espacio Público;331 886;163 352;Recepcionada
8;107010000;2471724;2471724;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;CREACION DE PARQUE JARDIN SECTOR SAN LUIS BAJO DEL DISTRITO DE BAGUA GRANDE - PROVINCIA DE UTCUBAMBA - DEPARTAMENTO DE AMAZONAS;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA - BAGUA GRANDE;17;2019;Espacio Público;562 682;544 696;Por recepcionar
9;2107100000;2432043;2432043;PUNO;LAMPA;VILAVILA;CREACION DE LA LOSA DE RECREACIÓN MULTIUSO EN LA LOCALIDAD DE VILAVILA DEL DISTRITO DE VILAVILA - PROVINCIA DE LAMPA - DEPARTAMENTO DE PUNO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE VILAVILA;22;1146;Espacio Público;704 993;590 923;Atrasada
10;2203010000;2483407;2483407;SAN MARTIN;EL DORADO;SAN JOSE DE SISA;CREACION DEL SERVICIO RECREATIVO DEL PARQUE EL SOL EN EL SECTOR BANDA DE PISHUAYA DEL DISTRITO DE SAN JOSE DE SISA - PROVINCIA DE EL DORADO - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE EL DORADO;14;9504;Espacio Público;468 853;397 411;Por recepcionar
