ITEM;UBIGEO;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;NORMA;DISPOSITIVO_2;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;TIPOLOGIA;MONTO DE INVERSIÓN;MONTO DE TRANSFERENCIA 2020;SUB ESTADO SSP
25;604150000;2406888;2406888;CAJAMARCA;CHOTA;QUEROCOTO;CREACION Y CONSTRUCCIÓN DEL PARQUE EN C.P. PACOPAMPA - DISTRITO DE QUEROCOTO - PROVINCIA DE CHOTA - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE QUEROCOTO;13;966;Espacio Público;402 644;419617;Atrasada
26;901190000;2445099;2445099;HUANCAVELICA;HUANCAVELICA;HUANDO;CREACION DEL PARQUE INFANTIL  EN EL BARRIO PROGRESO,  LOCALIDAD DE HUANDO DEL DISTRITO DE HUANDO - PROVINCIA DE HUANCAVELICA - DEPARTAMENTO DE HUANCAVELICA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE HUANDO;8;910;Espacio Público;215 775;192828;Por recepcionar
27;306040000;2456560;2456560;APURIMAC;CHINCHEROS;HUACCANA;MEJORAMIENTO DEL SERVICIO DEL ESPACIO PUBLICO RECREACIONAL EN EL SECTOR  DE ROSASPATA DE LA LOCALIDAD DE HUACCANA DEL DISTRITO DE HUACCANA - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE HUACCANA;9;2046;Espacio Público;282 252;282251;Adelantada
28;304060000;2448772;2448772;APURIMAC;AYMARAES;COTARUSE;CREACION DEL PARQUE RECREACIONAL INFANTIL EN LA LOCALIDAD DE COTARUSE DEL DISTRITO DE COTARUSE - PROVINCIA DE AYMARAES - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE COTARUSE;10;1278;Espacio Público;304 685;304685;Atrasada
29;2108010000;2469873;2469873;PUNO;MELGAR;AYAVIRI;CREACION DEL PARQUE RECREACIONAL EN LA URBANIZACION TUPAC AMARU DE LA LOCALIDAD DE AYAVIRI DEL DISTRITO DE AYAVIRI - PROVINCIA DE MELGAR - DEPARTAMENTO DE PUNO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE MELGAR - AYAVIRI;11;484;Espacio Público;320 248;312247;Por recepcionar
30;1501190000;2478711;2478711;LIMA;LIMA;LURIN;CREACION DE LOS SERVICIOS RECREATIVOS Y ESPARCIMIENTO EN LA ASOCIACIÓN PRO VIVIENDA LOS SUSPIROS, ZONA A DEL DISTRITO DE LURIN - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE LURIN;11;2342;Espacio Público;351 171;351171;Por recepcionar
31;1507160000;2409828;2409828;LIMA;HUAROCHIRI;SAN ANTONIO;CREACION DE PARQUE INFANTIL DE LA zona 06 del anexo 08 - DISTRITO DE SAN ANTONIO - PROVINCIA DE HUAROCHIRI - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO;11;72970;Espacio Público;337 599;355599;Atrasada
32;1508120000;2408136;2408136;LIMA;HUAURA;VEGUETA;CREACION DE PARQUE RECREATIVO EN EL CENTRO POBLADO PRIMAVERA - DISTRITO DE VEGUETA - PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE VEGUETA;12;902;Espacio Público;376 296;361296;Proceso de Selección
33;1101060000;2453288;2453288;ICA;ICA;PARCONA;CREACION DEL SERVICIO DE RECREACION Y ESPARCIMIENTO EN EL PARQUE DEL AA.HH. LOS JAZMINES  DISTRITO DE PARCONA - PROVINCIA DE ICA - DEPARTAMENTO DE ICA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE PARCONA;12;1490;Espacio Público;382 312;357311;Recepcionada
34;2005050000;2428178;2428178;PIURA;PAITA;LA HUACA;CREACION DE PARQUE RECREATIVO EN LA AV. LUIS F AGURTO, EN LA VILLA SANTA ANA LA HUACA DEL DISTRITO DE LA HUACA - PROVINCIA DE PAITA - DEPARTAMENTO DE PIURA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE LA HUACA;15;982;Espacio Público;491 564;430563;Normal
35;801040000;2437279;2437279;CUSCO;CUSCO;SAN JERONIMO;MEJORAMIENTO DEL PARQUE Y ZONAS DE ENTRETENIMIENTO EN LA APV. HUAYNA PICOL DEL DISTRITO DE SAN JERONIMO - PROVINCIA DE CUSCO - DEPARTAMENTO DE CUSCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SAN JERONIMO;18;1527;Espacio Público;596 872;490357;Atrasada
36;2203030000;2321482;2321482;SAN MARTIN;EL DORADO;SAN MARTIN;CREACION DEL PARQUE PRINCIPAL DE LA LOCALIDAD DE NUEVO PUCACACA DEL DISTRITO DE SAN MARTIN - PROVINCIA DE EL DORADO - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SAN MARTIN;17;2247;Espacio Público;526 482;514481;En Liquidación
37;1501130000;2465772;2465772;LIMA;LIMA;JESUS MARIA;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL DEL JIRÓN GENERAL JOSÉ DE CANTERAC EN JESUS MARIA DEL DISTRITO DE JESUS MARIA - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE JESUS MARIA;43;5676;Pista y Vereda;1 448 247;1350959;Por recepcionar
